
Mon, 02 Dec 2019 15:16:37 GMT - Info - Server is running on port: 3000
Wed, 04 Dec 2019 06:51:09 GMT - Info - Server is running on port: 3000

Wed, 04 Dec 2019 19:46:23 GMT - Info - Server is running on port: 3000
Wed, 04 Dec 2019 19:51:55 GMT - Info - Server is running on port: 3000
Wed, 04 Dec 2019 19:52:03 GMT - Info - Server is running on port: 3000
Wed, 04 Dec 2019 20:03:41 GMT - Info - Server is running on port: 3000
Wed, 04 Dec 2019 20:35:50 GMT - Info - Server is running on port: 3000
Wed, 04 Dec 2019 20:55:48 GMT - Info - Server is running on port: 3000
Wed, 04 Dec 2019 20:55:50 GMT - Info - Server is running on port: 3000
Wed, 04 Dec 2019 20:56:34 GMT - Info - Server is running on port: 3000
Wed, 04 Dec 2019 20:56:35 GMT - Info - Server is running on port: 3000
Thu, 05 Dec 2019 08:30:05 GMT - Info - Server is running on port: 3000
Thu, 05 Dec 2019 08:30:06 GMT - Info - Server is running on port: 3000
Thu, 05 Dec 2019 08:48:29 GMT - Info - Server is running on port: 3000
Thu, 05 Dec 2019 08:48:30 GMT - Info - Server is running on port: 3000
Thu, 05 Dec 2019 08:49:35 GMT - Info - Server is running on port: 3000
Thu, 05 Dec 2019 12:32:54 GMT - Debug - auth.service - login with email: LimorOfri@yahoo.com
Thu, 05 Dec 2019 18:33:34 GMT - Info - Server is running on port: 3000
